user_country,source,content,date
United States,Twitter for iPhone,@SpeakerPelosi @mitchellreports A question of national security is how did you become a Multi millionaire on a public servants celery?,2020-09-29T23:59:45+00:00
,Twitter Web App,@RealJamesWoods It might also be a question of national security as to how Pelosi acquired her millions.,2020-09-29T23:59:33+00:00
"New Jersey, USA",Twitter for Android,"@TrumperForYang @realDonaldTrump I've seen folks say this is the news that ""takes him down."" And its barely news.   I would say half a billion in personal debt was a national security issue tho. They wouldn't let me work as an underwriter over 2k on a credit card.",2020-09-29T23:59:22+00:00
,Twitter for iPhone,"@SpeakerPelosi @mitchellreports This is not, has not been and will not be a national security risk. This is poor reasoning and posturing.",2020-09-29T23:59:14+00:00
,Twitter Web App,"@Capthawkflyer @Underground_RT @SteveCampF1 2) Last time I checked, there is not a single foreign journalist obligated by any law to hold back information about the behaviour of a country that is not his (national security or no national security). It is literally the core of the job... exposing hidden information.",2020-09-29T23:59:08+00:00
"Loveland, CO",Twitter for iPhone,"For the 100th time, @RonJohnsonWI is a Russian asset. I’m pretty sure Wisconsin is more concerned about a national security threat in the White House, than joe Biden’s son. https://t.co/zgqiCKst7X",2020-09-29T23:59:07+00:00
"Ohio, USA",Twitter Web App,"#Democrats Are LYING About #DonaldTrump's Taxes, Push INSANE #Theory That He's A National Security Threat https://t.co/f7fS6XtOmF #CorporateMedia falsely claimed that #Trump only paid 750$ in 2016 and 2017",2020-09-29T23:59:05+00:00
,Twitter for Android,@HillaryClinton Yeah..total national security risk.  Trump getting us out of all these endless wars and brokering peace deals....horrendous!,2020-09-29T23:59:05+00:00
"Los Angeles, CA",Twitter for iPhone,@SpeakerPelosi @mitchellreports You and your socialist party are THE biggest threat to our national security and our future.,2020-09-29T23:58:51+00:00
The 💩hole State ,Twitter for Android,@SpeakerPelosi @mitchellreports You don't seem bothered by the National security threat with the Biden's. Until you start caring about why Hunter Biden received millions of dollars we couldn't care less who the @realDonaldTrump owes money too,2020-09-29T23:58:44+00:00
"Indiana, USA",Twitter for iPhone,@SpeakerPelosi @mitchellreports How about every elected official and their immediate family be subjected to an annual independent audit? That would help protect National Security.,2020-09-29T23:58:34+00:00
,Twitter Web App,"@TexasLumpy @loveisphere @DNI_Ratcliffe 3. Steele, the British national, sourced his info from someone who was known by the FBI to have been a russian asset and was deemed by CIA as a national security threat almost 1 years prior...",2020-09-29T23:57:58+00:00
United States,Twitter for iPhone,@ASavageNation Trump owing $421 million to foreign entities is a national security risk! Furthermore his paying $750. In income tax foe the past 15 years is I believe tax evasion. https://t.co/1YzPc3tHrG,2020-09-29T23:57:53+00:00
XRP Bubble; U cant pop it! ,Twitter for iPhone,There is no doubt in my mind about #Ripple being in bed with the higher ups in the US government. Innovation is national security. Onward !!!,2020-09-29T23:57:48+00:00
,Twitter Web App,national security threat https://t.co/hbrBDyajee,2020-09-29T23:57:22+00:00
,Twitter for Android,"@HillaryClinton This coming from a woman who literally was a national security risk, when she chose to conduct public affair via her private email account, whose ineptitude cost the lives of American entourages in Benghazi.....",2020-09-29T23:57:19+00:00
"New Jersey, USA 🇺🇸",Twitter for Android,"2. President Obama's Secretary of Defense, who served with you in the Obama cabinet, wrote in his memoir that you have ""been wrong on nearly every foreign policy and national security issue of the past four decades.""  He was a colleague of yours.   Do you see his point?  #Debates",2020-09-29T23:57:07+00:00
,Twitter for iPad,@Mainefreethink1 @JessicaChasmar @WashTimes @realDonaldTrump @TulsiGabbard She’d be a nice addition to his national security/homeland security team. Her politics remind me of Joe Lieberman.,2020-09-29T23:56:57+00:00
"Red State, USA",Twitter for iPhone,"@RoundHere2 @MeidasTouch @sirDukeDevin @RoundHere2, the dog deserves a better human to care for it than you. In fact, you may need help caring for yourself. Dumb@$$ Donny has done NOTHING good for the US, in fact, he is a danger to our national security and our democracy.",2020-09-29T23:56:38+00:00
"Texas, USA",Twitter Web App,OMG. How is that even possible. @maggieNYT is this true? Has the @nytimes been cooking the books also? @joelockhart is it possible that the Times is also a national security threat? Woe is me! https://t.co/MhQ7EB8emT,2020-09-29T23:56:26+00:00
"Riverdale Park, MD ",Twitter Web App,Great to see that the #UnitedKingdom is serious about kicking out #Huawei:  https://t.co/6850tX0N5b #tech #telecom #nationalsecurity #allies #5G #Nokia,2020-09-29T23:56:12+00:00
,Twitter for Android,"WOW 👏  IN THE MIDDLE OF A PANDEMIC THE PRESIDENT HAS TIME TO TALK TO A LAWYER ABOUT A CASE THATS 4 Y/O Michael Flynn’s lawyer says she asked Trump not to pardon the former national security adviser By Spencer S. Hsu, Ann E. Marimow and Matt Zapotosky  https://t.co/sOKQm2vD5N",2020-09-29T23:56:03+00:00
Wood,TweetDeck,Ghost guns should be a national security threat. https://t.co/r1utyMaKsx,2020-09-29T23:55:57+00:00
USA,Twitter for iPhone,@KamalaHarris @JoeBiden I’m a proud supporter and will definitely be watching. Trump is a huge national security risk. I hope that Joe has a chance to bring that up. That’s become my biggest concern in light of Donald’s debt and how that can be leveraged by foreign actors. #VoteBlueToEndThisNightmare,2020-09-29T23:55:50+00:00
,Twitter for Android,"@SenSchumer What is fact is the Biden family got 3.5 million dollars from a Russian mayors wife, 1.5 billion to a family investment firm, who knows how much from Kazakhstan, Ukraine, and others. National Security concern, what did they buy?",2020-09-29T23:55:22+00:00
Santa Cruz Mountains,Twitter for Android,The National Security State won tonight's debate. There. I just saved you three hours of watching two geriatrics struggle through trying not to avoid shitting themselves on stage. You're welcome.,2020-09-29T23:55:21+00:00
,Twitter Web App,"@seanmdav Worse, actually, than an absurd lie. A deliberate undermining of our national security.",2020-09-29T23:55:18+00:00
United States,Twitter for iPhone,"Yes!!! Trump is &amp; will continue to be a national security threat.   Therefore, prison is the safest place for him. https://t.co/2Oa8zcVxuq",2020-09-29T23:55:12+00:00
"Kerry, Ireland",Twitter for iPhone,"@cptDerpington @naimsays @drunknotwasted @toddzwillich Meanwhile Ivanka and Jared along with a dozen more were denied security clearance because of concerns over foreign influence, conflicts of interests, questionable or criminal conduct, financial problems or drug abuse - but got overridden. That’s a dozen national security threats!",2020-09-29T23:55:08+00:00
,Twitter for Android,"That's my point knuckle head should the national security agency trust you with secrets, if an abc late night tv know more about the use if their technology, has tag how did jimmy kimmel a tv personality know about a government program, my point ""why the fda is being discredited"" https://t.co/VARBuYJWsq",2020-09-29T23:55:02+00:00
United States,Twitter for iPhone,"@RudyGiuliani @realDonaldTrump is a national security risk! He owes $421 million to foreign entities. Eric in 2014, “we don’t rely on American banks. We have all the funding we need out of Russia .” https://t.co/1YzPc3tHrG",2020-09-29T23:54:59+00:00
"California, USA",Twitter for iPhone,@SpeakerPelosi @mitchellreports The person you should be worried about as a national security threat is Joe Biden!  He has used his political position to enrich himself and his family that he probably owes everyone a favor.  You are barking up the wrong tree!  #MAGA2020,2020-09-29T23:54:50+00:00
,Twitter for iPhone,National security in NOT on her “worry list”. Money and power hungry serpent. https://t.co/0xibHLYRjz,2020-09-29T23:54:49+00:00
MI,Twitter Web App,@JennaEllisEsq @SpeakerPelosi Trump is a national security risk #DumpTrump #DrainTheWhiteHouse,2020-09-29T23:54:48+00:00
United States Of America,Twitter for iPhone,"Bro, your yearly salary is 6 figures yet youre worth $120million. Our president actually owes nothing in back taxes due to tax loopholes perfectly legal not a question of national security, especially seeing how he has nothing from Russia, no gains from public office? Try again. https://t.co/yXUsyFBfkX",2020-09-29T23:54:30+00:00
"Cincinnati, Ohio",Twitter for Android,He is going to be the first prez in a long time that lost money by serving his country as prez. While everyone else is there to fleece the people! Now they have the nerve to question him?!wtf  Ethics experts see national security concern in Trump's debt https://t.co/3x6vH6ecvU,2020-09-29T23:54:22+00:00
"Katy, TX",Twitter for Android,"@SpeakerPelosi @mitchellreports How u became a multi millionaire on congressmen salary is a question of national security. U would know that if u were not always hitting the sauce, violating ur states mask ordnance to get a hair do, or eating expensive ice cream out high dollar refrigerators. #PelosiMustGo",2020-09-29T23:54:19+00:00
